Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_idd,shell_density_numsel_Currentcluster
4536,6.0,775780000.0,1.755,570.0,30.0,0.0,30.0,213.12,64.23713816183631,0.0,21.074975489803506,0.0,SP3,3,64.23713816183631,28.0,21.074975489803506
4537,7.0,4201.3,0.02918,10.0,0.0,0.0,0.0,0.0023921,0.0,0.0,0.0,0.0,SP3,3,0.0,0.0,0.0
4538,7.0,113210.0,0.08748099999999999,30.0,0.0,0.0,0.0,5.8406,0.0,0.0,0.0,0.0,SP3,3,0.0,1.0,0.0
4539,7.0,523910.0,0.14578,50.0,0.0,0.0,0.0,13.799,0.0,0.0,0.0,0.0,SP3,3,0.0,2.0,0.0
4540,7.0,1437400.0,0.20408,70.0,0.0,0.0,0.0,22.047,0.0,0.0,0.0,0.0,SP3,3,0.0,3.0,0.0
4541,7.0,3054600.0,0.26239,90.0,0.0,0.0,0.0,30.388,0.0,0.0,0.0,0.0,SP3,3,0.0,4.0,0.0
4542,7.0,5576800.0,0.32069000000000003,110.0,0.0,0.0,0.0,38.798,0.0,0.0,0.0,0.0,SP3,3,0.0,5.0,0.0
4543,7.0,9204800.0,0.37899,130.0,0.0,0.0,0.0,47.197,0.0,0.0,0.0,0.0,SP3,3,0.0,6.0,0.0
4544,7.0,14140000.0,0.43729,150.0,0.0,0.0,0.0,55.596,0.0,0.0,0.0,0.0,SP3,3,0.0,7.0,0.0
4545,7.0,20583000.0,0.49559,170.0,2.0,0.0,2.0,64.02600000000001,161.40791605755354,0.0,515.6385435686209,0.0,SP3,3,161.40791605755354,8.0,515.6385435686209
4546,7.0,28735000.0,0.55389,190.0,3.0,0.0,3.0,72.48100000000002,173.4257422766291,0.0,203.76957410528854,0.0,SP3,3,173.4257422766291,9.0,203.76957410528854
