tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar
SP2_2,SP2,2,21,6564.3419240372905,6591.398646468178,802.5735513777689,0.877737393837011,170
SP2_3,SP2,3,0,492.9424327991329,432.97254530069813,271.043020400606,0.45015279195684055,17
SP2_3,SP2,3,1,1658.0390101826338,735.3888973998212,656.8412673772613,0.6038445034505492,81
SP2_3,SP2,3,2,1859.740934770171,1145.2584413520146,511.09498787673465,0.7251794707955405,98
SP2_3,SP2,3,3,449.5551681506609,331.1931982376233,226.88897342718366,0.4953033809831642,15
SP2_3,SP2,3,4,946.2169198371517,758.3440587077139,539.601078272733,0.42972793345779436,46
SP2_3,SP2,3,5,1093.9626344008984,717.7596274834685,542.6026231786659,0.5040025992516475,51
SP2_3,SP2,3,6,1156.4216028704996,681.9548402829288,399.8862462794875,0.6542037564095313,39
SP2_3,SP2,3,7,1041.1944398531864,654.5316548461149,505.0252884214394,0.5149558342890781,46
SP2_3,SP2,3,8,837.4643101792344,515.9298505854185,378.4068573953934,0.5481516611562747,27
SP2_3,SP2,3,9,1680.9971732607287,791.1781287414734,734.9433584072254,0.56279322172707,57
SP2_3,SP2,3,10,560.1296352716599,487.1620596877674,238.35864118653035,0.5744580786715068,16
SP2_3,SP2,3,11,694.6324671501195,419.17960151672,325.559906369961,0.5313206310300449,26
SP2_3,SP2,3,12,419.71758206941183,302.28599562763094,267.84320922191216,0.3618489654369139,10
SP2_3,SP2,3,13,1001.2627598264697,783.583663944816,288.1302360996232,0.7122331443251126,38
SP2_3,SP2,3,14,590.42525542363,398.6272120276799,136.7817340039125,0.7683335312176447,14
SP2_3,SP2,3,15,402.02482984074555,235.3609703664851,187.1795680532646,0.5344079416004921,10
SP2_3,SP2,3,16,716.4505694145053,664.9468547243409,428.61070659072516,0.4017581604534244,32
SP2_3,SP2,3,17,954.3658336519253,414.51922855434384,215.88203962583054,0.7737952973444702,24
SP2_3,SP2,3,18,480.3029355223442,325.3143488581402,249.58944823978882,0.4803499421290178,12
SP2_3,SP2,3,19,537.684055395948,417.2118252087926,362.523938252835,0.32576773550431193,20
SP2_3,SP2,3,20,305.17633091798757,309.6422517298814,247.7532101398603,0.18816374325425334,10
SP2_3,SP2,3,21,6793.139163394966,6925.981946046121,1050.5437462334141,0.8453522412886372,310
SP2_4,SP2,4,0,534.4117735864124,480.2615161722048,234.4339785948731,0.5613233274753704,17
SP2_4,SP2,4,1,1832.876466657166,802.3800832367998,551.9231408111109,0.6988759739941892,107
SP2_4,SP2,4,2,1016.8864403658993,517.4729183910935,370.9872121233981,0.6351734103270092,30
SP2_4,SP2,4,3,2172.7487625454182,857.1994080907887,615.5309768767845,0.7167040260302908,106
SP2_4,SP2,4,4,889.5667604877926,363.635523814831,395.1207384866948,0.5558278973125852,24
SP2_4,SP2,4,5,1174.127832844114,737.1004134164259,385.4985477134527,0.6716724219204891,49
SP2_4,SP2,4,6,1316.0464533480604,1199.6932017966874,602.6969942803,0.5420397260696829,88
SP2_4,SP2,4,7,658.279057966816,469.335486862183,379.9294687042743,0.42284436348660714,24
SP2_4,SP2,4,8,597.5315444951002,467.9148929249657,348.14709732785053,0.4173577938516594,19
SP2_4,SP2,4,9,730.2608885354246,437.2208761727711,318.7129667642614,0.5635628694240267,20
SP2_4,SP2,4,10,1464.8838848734613,615.6017014529444,426.00818468786963,0.7091863805132455,49
SP2_4,SP2,4,11,435.13487190745474,353.20611905228435,175.70242672499543,0.5962115700936879,10
SP2_4,SP2,4,12,1385.8257944570753,797.0657872483116,417.47843084935255,0.698751147136132,62
