Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster
977,0.0,719920000.0,1.6923,270.0,28.0,0.0,26.0,368.7,64.6066617221035,0.0,22.382666147090372,0.0,SP2,2,59.99190017052467,0.0
978,0.0,892030000.0,1.8176,290.0,28.0,0.0,26.0,397.25,52.141326981129275,0.0,0.0,0.0,SP2,2,48.41694648247718,0.0
979,0.0,1089600000.0,1.943,310.0,29.0,1.0,26.0,425.82,44.21141471648592,1.5245315419477905,8.407802642639632,8.407802642639632,SP2,2,39.63782009064255,0.0
980,0.0,1314400000.0,2.0683,330.0,31.0,2.0,26.0,454.38,39.17758415345076,2.527586074416178,14.778732812333741,7.389366406166871,SP2,2,32.858618967410315,0.0
981,0.0,1568200000.0,2.1937,350.0,33.0,3.0,26.0,482.94,34.955538673325016,3.177776243029548,13.09006751856826,6.54503375928413,SP2,2,27.54072743958941,0.0
982,1.0,38687.0,0.038225,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP2,2,0.0,0.0
983,1.0,1044300.0,0.11467,30.0,0.0,0.0,0.0,0.046416000000000006,0.0,0.0,0.0,0.0,SP2,2,0.0,0.0
984,1.0,4834700.0,0.19111,50.0,0.0,0.0,0.0,3.3795,0.0,0.0,0.0,0.0,SP2,2,0.0,0.0
985,1.0,13266000.0,0.26755,70.0,3.0,0.0,3.0,11.769,375.65119134018823,0.0,591.0581647336635,0.0,SP2,2,375.65119134018823,591.0581647336635
986,1.0,28195000.0,0.34399,90.0,4.0,0.0,4.0,20.78,235.66299955400777,0.0,111.26864278292669,0.0,SP2,2,235.66299955400777,111.26864278292669
987,1.0,51479000.0,0.42043,110.0,6.0,0.0,6.0,30.241,193.6086056185605,0.0,142.68420959511357,0.0,SP2,2,193.6086056185605,142.68420959511357
988,1.0,84970000.0,0.49687,130.0,13.0,0.0,13.0,39.76300000000001,254.14480858399503,0.0,347.1949770608278,0.0,SP2,2,254.14480858399503,347.1949770608278
989,1.0,130530000.0,0.5733199999999999,150.0,19.0,0.0,19.0,49.604,241.7946969587063,0.0,218.7615761334037,0.0,SP2,2,241.7946969587063,218.7615761334037
990,1.0,190010000.0,0.64976,170.0,27.0,0.0,27.0,59.422,236.04283110820708,0.0,223.42025125841462,0.0,SP2,2,236.04283110820708,223.42025125841462
991,1.0,265280000.0,0.7262,190.0,37.0,0.0,37.0,69.242,231.6864973610282,0.0,220.6894603568901,0.0,SP2,2,231.6864973610282,220.6894603568901
992,1.0,358180000.0,0.8026399999999999,210.0,52.0,0.0,52.0,79.169,241.16013608109955,0.0,268.2125244520418,0.0,SP2,2,241.16013608109955,268.2125244520418
