Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster,uniq
411,5.0,683000000.0,2.1661,14.0,14.0,0.0,14.0,393.56,34.049507984609626,0.0,0.0,0.0,LS,4,34.049507984609626,0.0,SP1-4-5
412,5.0,846290000.0,2.3266,16.0,15.0,0.0,15.0,424.01,29.442559313704148,0.0,10.172879956557733,0.0,LS,4,29.442559313704148,10.172879956557733,SP1-4-5
413,5.0,1033800000.0,2.487,18.0,15.0,0.0,15.0,454.46,24.10228624646419,0.0,0.0,0.0,LS,4,24.10228624646419,0.0,SP1-4-5
420,6.0,75300000.0,1.0873,2.0,7.0,0.0,7.0,187.07,154.42107538836902,0.0,111.93218342416444,0.0,LS,4,154.42107538836902,111.93218342416444,SP1-4-6
421,6.0,115670000.0,1.2546,4.0,7.0,0.0,7.0,219.56,100.52655811138744,0.0,0.0,0.0,LS,4,100.52655811138744,0.0,SP1-4-6
422,6.0,168390000.0,1.4218,6.0,8.0,0.0,8.0,252.08,78.91820502910208,0.0,31.50852746787391,0.0,LS,4,78.91820502910208,31.50852746787391,SP1-4-6
423,6.0,235080000.0,1.5891,8.0,9.0,0.0,9.0,284.63,63.59607841142084,0.0,24.90822564261977,0.0,LS,4,63.59607841142084,24.90822564261977,SP1-4-6
424,6.0,317410000.0,1.7564,10.0,10.0,0.0,10.0,317.2,52.33387631474472,0.0,20.176479632045574,0.0,LS,4,52.33387631474472,20.176479632045574,SP1-4-6
425,6.0,417010000.0,1.9237,12.0,12.0,0.0,12.0,349.78,47.80114341928432,0.0,33.35601542382153,0.0,LS,4,47.80114341928432,33.35601542382153,SP1-4-6
426,6.0,535530000.0,2.0909,14.0,12.0,0.0,12.0,382.27,37.222106730296616,0.0,0.0,0.0,LS,4,37.222106730296616,0.0,SP1-4-6
427,6.0,674610000.0,2.2582,16.0,13.0,1.0,12.0,414.75,32.01062004029301,2.4623553877148456,11.943698361420136,11.943698361420136,LS,4,29.54826465257816,0.0,SP1-4-6
428,6.0,835900000.0,2.4255,18.0,15.0,3.0,12.0,447.23,29.8085219782207,5.9617043956441425,20.598047840613955,20.598047840613955,LS,4,23.84681758257657,0.0,SP1-4-6
437,7.0,121610000.0,1.1725,2.0,9.0,0.0,9.0,203.57,122.93533519411899,0.0,39.13236043502349,0.0,LS,4,122.93533519411899,39.13236043502349,SP1-4-7
438,7.0,177020000.0,1.3288,4.0,10.0,0.0,10.0,232.68,93.83852491844492,0.0,29.978876883347997,0.0,LS,4,93.83852491844492,29.978876883347997,SP1-4-7
439,7.0,247140000.0,1.4852,6.0,13.0,0.0,13.0,261.79,87.37834581768253,0.0,71.06943388931741,0.0,LS,4,87.37834581768253,71.06943388931741,SP1-4-7
440,7.0,333690000.0,1.6415,8.0,14.0,0.0,14.0,290.91,69.69287048904185,0.0,19.192715980431107,0.0,LS,4,69.69287048904185,19.192715980431107,SP1-4-7
441,7.0,438390000.0,1.7978,10.0,15.0,0.0,15.0,320.03,56.837390272576215,0.0,15.865611920786176,0.0,LS,4,56.837390272576215,15.865611920786176,SP1-4-7
442,7.0,562980000.0,1.9542,12.0,15.0,0.0,15.0,349.15,44.25902078509838,0.0,0.0,0.0,LS,4,44.25902078509838,0.0,SP1-4-7
443,7.0,709190000.0,2.1105,14.0,16.0,1.0,15.0,378.27,37.476660823899095,2.3422913014936935,11.361258245717206,11.361258245717206,LS,4,35.1343695224054,0.0,SP1-4-7
444,7.0,878760000.0,2.2668,16.0,16.0,1.0,15.0,407.39,30.244973701239253,1.8903108563274529,0.0,0.0,LS,4,28.354662844911786,0.0,SP1-4-7
445,7.0,1073400000.0,2.4232,18.0,16.0,1.0,15.0,436.51,24.76064196916433,1.5475401230727708,0.0,0.0,LS,4,23.213101846091565,0.0,SP1-4-7
452,8.0,74056000.0,1.1218,2.0,5.0,0.0,4.0,176.62,112.1536113283402,0.0,56.90553828598926,0.0,LS,4,89.72288906267215,56.90553828598926,SP1-4-8
453,8.0,113760000.0,1.2944,4.0,9.0,0.0,7.0,206.06,131.41847848942342,0.0,167.3513568513311,0.0,LS,4,102.21437215844044,125.5135176384983,SP1-4-8
454,8.0,165610000.0,1.467,6.0,10.0,0.0,7.0,235.5,100.30369954147169,0.0,32.03721442827989,0.0,LS,4,70.21258967903017,0.0,SP1-4-8
455,8.0,231200000.0,1.6396,8.0,10.0,0.0,7.0,264.94,71.84816471048062,0.0,0.0,0.0,LS,4,50.29371529733646,0.0,SP1-4-8
456,8.0,312160000.0,1.8121,10.0,11.0,1.0,7.0,294.39,58.53544736407429,5.321404305824936,20.517904744396148,20.517904744396148,LS,4,37.24983014077456,0.0,SP1-4-8
457,8.0,410120000.0,1.9847,12.0,12.0,1.0,7.0,323.83,48.60420076386362,4.050350063655301,16.95722303089335,0.0,LS,4,28.35245044558712,0.0,SP1-4-8
458,8.0,526680000.0,2.1573,14.0,12.0,1.0,7.0,353.27,37.84756363878588,3.1539636365654897,0.0,0.0,LS,4,22.077745455958432,0.0,SP1-4-8
